ITERACAO,TEMPO (s),DESLOCAMENTO (m)
345000,5.929292206249042,-.5374749652424559E-01
346000,5.946478560470053,-.5375179589197294E-01
347000,5.963664914691066,-.5375897318792554E-01
348000,5.980851268912077,-.5376846107430150E-01
349000,5.998037623133088,-.5377956491856523E-01
350000,6.015223977354101,-.5379151208740735E-01
351000,6.032410331575112,-.5380350444269517E-01
352000,6.049596685796124,-.5381477050884417E-01
353000,6.066783040017135,-.5382461402073975E-01
354000,6.083969394238148,-.5383245582713953E-01
355000,6.101155748459159,-.5383786672342936E-01
356000,6.118342102680170,-.5384058943826268E-01
357000,6.135528456901183,-.5384054876019881E-01
358000,6.152714811122194,-.5383784960311148E-01
359000,6.169901165343206,-.5383276357290521E-01
360000,6.187087519564217,-.5382570534034063E-01
361000,6.204273873785230,-.5381720070100323E-01
362000,6.221460228006241,-.5380784870520729E-01
363000,6.238646582227252,-.5379828049616857E-01
364000,6.255832936448265,-.5378911764115133E-01
365000,6.273019290669276,-.5378093259817535E-01
366000,6.290205644890288,-.5377421384899471E-01
367000,6.307391999111299,-.5376933771043685E-01
368000,6.324578353332312,-.5376654839445857E-01
369000,6.341764707553323,-.5376594728960375E-01
370000,6.358951061774334,-.5376749179155386E-01
371000,6.376137415995347,-.5377100341186545E-01
372000,6.393323770216358,-.5377618429116372E-01
373000,6.410510124437370,-.5378264074076101E-01
374000,6.427696478658381,-.5378991202892458E-01
375000,6.444882832879394,-.5379750240214330E-01
376000,6.462069187100405,-.5380491412625984E-01
377000,6.479255541321416,-.5381167942920301E-01
378000,6.496441895542429,-.5381738932253156E-01
379000,6.513628249763440,-.5382171757680871E-01
380000,6.530814603984452,-.5382443850642097E-01
381000,6.548000958205463,-.5382543765938592E-01
382000,6.565187312426476,-.5382471498802042E-01
383000,6.582373666647487,-.5382238057606373E-01
384000,6.599560020868498,-.5381864349094629E-01
385000,6.616746375089511,-.5381379472309163E-01
386000,6.633932729310522,-.5380818551687489E-01
387000,6.651119083531534,-.5380220266682161E-01
388000,6.668305437752545,-.5379624247359090E-01
389000,6.685491791973558,-.5379068504493942E-01
390000,6.702678146194569,-.5378587059289179E-01
391000,6.719864500415580,-.5378207918765054E-01
392000,6.737050854636593,-.5377951509865370E-01
393000,6.754237208857604,-.5377829656244275E-01
394000,6.771423563078616,-.5377845142175505E-01
395000,6.788609917299627,-.5377991872947948E-01
396000,6.805796271520640,-.5378255595738679E-01
397000,6.822982625741651,-.5378615112678527E-01
398000,6.840168979962662,-.5379043895862888E-01
399000,6.857355334183675,-.5379511981413454E-01
400000,6.874541688404686,-.5379988011993322E-01
401000,6.891728042625698,-.5380441292527276E-01
402000,6.908914396846709,-.5380843726438227E-01
403000,6.926100751067722,-.5381171514413184E-01
404000,6.943287105288733,-.5381406514687098E-01
405000,6.960473459509744,-.5381537191403941E-01
